Type,Body_Type,Region,Make,Make_Tier,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Price
ES,Luxury,Riyadh,Lexus,Premium Luxury,Automatic,Gulf Arabic,Full,2017,3.5,75000,125000
The 7,Luxury,Dammam,BMW,Premium Luxury,Automatic,Saudi,Full,2016,2.0,134000,150000
Accent,Sedan,Jeddah,Hyundai,Midrange,Automatic,Saudi,Full,2017,1.6,140000,30000
Mustang,Coupe/Sports,Riyadh,Ford,Midrange,Automatic,Other,Full,2019,2.3,52000,139000
Yukon,SUV,Tabouk,GMC,Midrange,Automatic,Saudi,Standard,2012,5.3,235000,67000
Accent,Sedan,Dammam,Hyundai,Midrange,Automatic,Saudi,Standard,2016,1.6,147000,24000
LF X60,SUV,Jeddah,Lifan,Entry Level,Automatic,Saudi,Full,2016,1.6,128000,25000
Taurus,Sedan,Riyadh,Ford,Midrange,Automatic,Saudi,Full,2015,3.0,197000,58000
Sunny,Sedan,Riyadh,Nissan,Midrange,Automatic,Saudi,Semi Full,2018,1.5,58244,30000
Ciocca,Other,Jubail,Toyota,Midrange,Automatic,Saudi,Semi Full,2010,5.7,270000,65000
The 3,Sedan,Jeddah,BMW,Premium Luxury,Automatic,Saudi,Full,2011,2.5,74000,35000
S,Other,Dammam,Mercedes,Premium Luxury,Automatic,Saudi,Standard,2016,3.0,60000,210000
Hilux,Pickup,Aseer,Toyota,Midrange,Manual,Saudi,Full,2015,2.7,276,57000
Land Cruiser 70,SUV,Riyadh,Toyota,Midrange,Manual,Saudi,Standard,2003,1.6,230000,69000
C,Other,Jeddah,Mercedes,Premium Luxury,Automatic,Saudi,Semi Full,2015,2.0,99000,91500
FJ,SUV,Tabouk,Toyota,Midrange,Automatic,Saudi,Full,2016,4.0,148,98000
Hilux,Pickup,Aseer,Toyota,Midrange,Manual,Saudi,Full,2018,2.7,48000,90000
Rav4,SUV,Jeddah,Toyota,Midrange,Automatic,Saudi,Semi Full,2017,2.4,190000,60000
Marquis,Sedan,Riyadh,Ford,Midrange,Automatic,Other,Full,2008,4.6,171000,27000
Accent,Sedan,Riyadh,Hyundai,Midrange,Automatic,Saudi,Standard,2016,1.4,111,22000
Tucson,SUV,Dammam,Hyundai,Midrange,Automatic,Saudi,Standard,2018,1.6,146000,75000
Land Cruiser,SUV,Jeddah,Toyota,Midrange,Automatic,Gulf Arabic,Semi Full,2020,5.7,124000,250000
Sunny,Sedan,Riyadh,Nissan,Midrange,Automatic,Saudi,Standard,2018,1.5,105499,25000
Impala,Sedan,Riyadh,Chevrolet,Midrange,Automatic,Gulf Arabic,Full,2016,3.5,152000,70000
A3,Hatchback,Riyadh,Audi,Premium Luxury,Automatic,Saudi,Semi Full,2016,1.4,70278,69500
Aurion,Other,Riyadh,Toyota,Midrange,Automatic,Saudi,Full,2009,3.5,373000,33500
Hilux,Pickup,Riyadh,Toyota,Midrange,Manual,Saudi,Full,2018,2.7,94458,91500
Victoria,Sedan,Riyadh,Ford,Midrange,Automatic,Saudi,Standard,2008,4.6,21000,13000
Sierra,SUV,Dammam,GMC,Midrange,Automatic,Saudi,Standard,2013,5.3,300000,45000
Furniture,Other,Qassim,Toyota,Midrange,Automatic,Saudi,Semi Full,2021,2.4,29000,145000
Spark,Hatchback,Riyadh,Chevrolet,Midrange,Automatic,Saudi,Standard,2020,1.4,16000,27000
Avalon,Sedan,Riyadh,Toyota,Midrange,Automatic,Saudi,Standard,2019,3.5,43418,115000
Azera,Sedan,Dammam,Hyundai,Midrange,Automatic,Saudi,Semi Full,2019,3.5,44271,95000
C,Other,Dammam,Mercedes,Premium Luxury,Automatic,Saudi,Full,2019,2.0,40000,210000
CX5,SUV,Riyadh,Mazda,Midrange,Automatic,Gulf Arabic,Standard,2014,2.5,110000,41000
Fluence,Sedan,Riyadh,Renault,Entry Level,Automatic,Saudi,Standard,2015,1.6,121913,29000
Optima,Sedan,Riyadh,Kia,Midrange,Automatic,Saudi,Semi Full,2015,2.4,173544,37000
Accent,Sedan,Taef,Hyundai,Midrange,Automatic,Saudi,Full,2014,1.6,324000,20000
5,Sedan,Riyadh,MG,Midrange,Automatic,Saudi,Full,2020,1.5,23000,44000
Land Cruiser,SUV,Riyadh,Toyota,Midrange,Automatic,Saudi,Full,2019,3.2,43000,236000
Datsun,Other,Jazan,Nissan,Midrange,Manual,Saudi,Full,2015,2.4,147000,45000
Camry,Sedan,Riyadh,Toyota,Midrange,Manual,Saudi,Standard,2007,2.5,192000,20000
Tahoe,SUV,Riyadh,Chevrolet,Midrange,Automatic,Saudi,Semi Full,2011,5.3,188000,53000
Furniture,Other,Dammam,Toyota,Midrange,Automatic,Saudi,Full,2015,4.0,26000,52000
Sierra,SUV,Riyadh,GMC,Midrange,Automatic,Other,Standard,2015,5.3,145000,87500
Explorer,SUV,Khobar,Ford,Midrange,Automatic,Saudi,Standard,2005,4.0,300000,7000
Marquis,Sedan,Riyadh,Ford,Midrange,Automatic,Other,Full,2008,9.0,115,17000
Caprice,Sedan,Riyadh,Chevrolet,Midrange,Automatic,Saudi,Full,2009,6.3,211000,40000
Hilux,Pickup,Al-Ahsa,Toyota,Midrange,Automatic,Saudi,Full,2016,2.7,90000,79000
Avanza,MPV,Riyadh,Toyota,Midrange,Automatic,Saudi,Semi Full,2018,1.6,41000,45000
Land Cruiser,SUV,Jeddah,Toyota,Midrange,Automatic,Saudi,Full,2019,4.6,52000,248000
Koleos,SUV,Riyadh,Renault,Entry Level,Automatic,Saudi,Full,2017,2.5,103503,64000
Pajero,SUV,Dammam,Mitsubishi,Midrange,Automatic,Saudi,Full,2017,3.5,81000,72000
Hilux,Pickup,Dammam,Toyota,Midrange,Manual,Gulf Arabic,Standard,2018,2.4,130000,80000
Prado,Other,Aseer,Toyota,Midrange,Automatic,Saudi,Semi Full,2015,4.0,160000,105000
Avalon,Sedan,Riyadh,Toyota,Midrange,Automatic,Saudi,Semi Full,2021,3.5,6500,140000
Pajero,SUV,Jeddah,Mitsubishi,Midrange,Automatic,Saudi,Full,2016,3.8,146000,63000
Land Cruiser,SUV,Dammam,Toyota,Midrange,Automatic,Saudi,Full,2007,4.5,315000,63000
Suburban,Other,Riyadh,GMC,Midrange,Automatic,Gulf Arabic,Standard,2016,5.3,98000,140000
Innova,MPV,Jeddah,Toyota,Midrange,Automatic,Saudi,Standard,2018,2.7,87000,70000
Hilux,Pickup,Jeddah,Toyota,Midrange,Automatic,Saudi,Full,2016,2.8,97000,91000
Marquis,Sedan,Riyadh,Ford,Midrange,Automatic,Other,Semi Full,2011,4.6,300000,22000
Hilux,Pickup,Qassim,Toyota,Midrange,Manual,Saudi,Semi Full,2015,2.7,328000,65000
Accord,Sedan,Riyadh,Honda,Midrange,Automatic,Gulf Arabic,Semi Full,2016,2.4,106000,66000
Senta fe,SUV,Dammam,Hyundai,Midrange,Automatic,Saudi,Semi Full,2016,3.3,149000,47000
Odyssey,MPV,Riyadh,Honda,Midrange,Automatic,Saudi,Semi Full,2016,3.5,185000,52000
Tahoe,SUV,Riyadh,Chevrolet,Midrange,Automatic,Saudi,Full,2010,2.7,260000,65000
Pajero,SUV,Riyadh,Mitsubishi,Midrange,Automatic,Saudi,Standard,2016,3.5,137000,55000
Corolla,Sedan,Jeddah,Toyota,Midrange,Manual,Saudi,Standard,2010,1.5,318800,18000
F150,Pickup,Dammam,Ford,Midrange,Automatic,Saudi,Standard,2011,5.0,133000,33000
ES,Luxury,Riyadh,Lexus,Premium Luxury,Automatic,Saudi,Semi Full,2015,3.5,246398,85000
Land Cruiser,SUV,Jeddah,Toyota,Midrange,Automatic,Saudi,Full,2018,5.7,125000,245000
Senta fe,SUV,Al-Ahsa,Hyundai,Midrange,Automatic,Saudi,Full,2016,3.3,157000,69000
Accent,Sedan,Riyadh,Hyundai,Midrange,Automatic,Saudi,Standard,2020,1.4,19717,41500
ES,Luxury,Hail,Lexus,Premium Luxury,Automatic,Gulf Arabic,Semi Full,2015,3.5,161000,74000
Tucson,SUV,Jeddah,Hyundai,Midrange,Automatic,Other,Semi Full,2016,2.4,119800,57000
ES,Luxury,Al-Ahsa,Lexus,Premium Luxury,Automatic,Gulf Arabic,Full,2017,3.5,99000,129000
Yaris,Hatchback,Makkah,Toyota,Midrange,Automatic,Saudi,Standard,2017,1.3,100000,27000
Senta fe,SUV,Al-Namas,Hyundai,Midrange,Automatic,Saudi,Semi Full,2012,2.4,126000,42000
Sierra,SUV,Riyadh,GMC,Midrange,Automatic,Gulf Arabic,Full,2020,5.3,32000,158000
FJ,SUV,Riyadh,Toyota,Midrange,Automatic,Saudi,Full,2016,4.0,184000,100000
Datsun,Other,Tabouk,Nissan,Midrange,Manual,Saudi,Full,2015,1.1,215267,31000
Cerato,Other,Riyadh,Kia,Midrange,Automatic,Saudi,Standard,2017,1.6,97000,38500
Hilux,Pickup,Dammam,Toyota,Midrange,Manual,Saudi,Standard,2016,2.7,220424,62000
H1,Van,Riyadh,Hyundai,Midrange,Automatic,Saudi,Semi Full,2015,2.4,140000,55000
Abeka,Other,Taef,Chevrolet,Midrange,Automatic,Saudi,Full,2008,1.8,260,14000
Hiace,Van,Riyadh,Toyota,Midrange,Manual,Saudi,Standard,2017,2.7,134007,70000
GS,Other,Dammam,MG,Midrange,Automatic,Saudi,Full,2016,1.5,139000,42000
Altima,Sedan,Riyadh,Nissan,Midrange,Automatic,Saudi,Standard,2017,2.5,40000,59000
Navara,Pickup,Riyadh,Nissan,Midrange,Automatic,Saudi,Semi Full,2014,2.5,178754,45000
Accent,Sedan,Dammam,Hyundai,Midrange,Automatic,Saudi,Standard,2018,1.4,97300,31000
C300,Sedan,Riyadh,Chrysler,Entry Level,Automatic,Saudi,Full,2019,5.7,45000,145000
Prado,Other,Riyadh,Toyota,Midrange,Automatic,Saudi,Semi Full,2018,4.0,56000,150000
LX,Other,Riyadh,Lexus,Premium Luxury,Automatic,Saudi,Full,2021,5.7,1700,498000
Innova,MPV,Dammam,Toyota,Midrange,Automatic,Saudi,Standard,2018,2.7,275916,67000
Navara,Pickup,Jeddah,Nissan,Midrange,Manual,Saudi,Full,2015,2.5,83000,45000
IS,Sedan,Jeddah,Lexus,Premium Luxury,Automatic,Saudi,Full,2005,3.5,400000,50000
6,Sedan,Dammam,Mazda,Midrange,Automatic,Saudi,Standard,2016,2.5,267000,50000
Ciocca,Other,Al-Medina,Toyota,Midrange,Automatic,Saudi,Standard,2013,5.7,114000,89000
Furniture,Other,Al-Jouf,Toyota,Midrange,Automatic,Saudi,Semi Full,2016,2.4,120000,92000
Other,Other,Jeddah,Other,Entry Level,Manual,Other,Semi Full,2021,1.2,3000,5500
Expedition,SUV,Al-Ahsa,Ford,Midrange,Manual,Saudi,Full,2012,4.8,304,38000
Sierra,SUV,Khobar,GMC,Midrange,Automatic,Saudi,Full,2021,5.3,2000,190000
Land Cruiser Pickup,Pickup,Riyadh,Toyota,Midrange,Manual,Gulf Arabic,Full,2016,4.0,243038,93500
Accord,Sedan,Jeddah,Honda,Midrange,Automatic,Gulf Arabic,Full,2005,2.4,300000,11000
Elantra,Sedan,Riyadh,Hyundai,Midrange,Automatic,Saudi,Standard,2019,1.6,106787,48500
Camry,Sedan,Jeddah,Toyota,Midrange,Automatic,Saudi,Standard,2016,2.5,130000,55000
Grand Marquis,Sedan,Riyadh,Mercury,Entry Level,Automatic,Other,Full,2007,4.6,570000,24000
G80,Luxury,Riyadh,Genesis,Premium Luxury,Automatic,Saudi,Semi Full,2018,3.8,75000,110000
Rav4,SUV,Makkah,Toyota,Midrange,Automatic,Saudi,Full,2018,1.8,63000,90000
Sonata,Sedan,Aseer,Hyundai,Midrange,Automatic,Saudi,Full,2016,2.4,230000,45000
Accord,Sedan,Dammam,Honda,Midrange,Automatic,Gulf Arabic,Full,2019,1.5,81000,95000
Furniture,Other,Riyadh,Toyota,Midrange,Manual,Saudi,Semi Full,2015,4.0,70346,80500
The 5,Luxury,Jeddah,BMW,Premium Luxury,Automatic,Saudi,Semi Full,2019,2.0,29900,150000
Corolla,Sedan,Al-Medina,Toyota,Midrange,Automatic,Saudi,Standard,2013,1.6,186000,27000
Prado,Other,Riyadh,Toyota,Midrange,Automatic,Saudi,Semi Full,2020,2.7,5000,153000
Sunny,Sedan,Dammam,Nissan,Midrange,Automatic,Saudi,Standard,2019,1.5,77000,28500
Camry,Sedan,Al-Medina,Toyota,Midrange,Automatic,Gulf Arabic,Semi Full,2015,2.4,140000,45000
CX9,SUV,Riyadh,Mazda,Midrange,Automatic,Saudi,Semi Full,2016,3.0,230000,50000
Patrol,SUV,Dammam,Nissan,Midrange,Automatic,Saudi,Semi Full,2016,5.6,50000,150000
Flying Spur,Luxury,Dammam,Bentley,Ultra Luxury,Automatic,Saudi,Full,2010,5.0,58000,175000
Corolla,Sedan,Dammam,Toyota,Midrange,Automatic,Saudi,Standard,2018,1.6,83000,45000
Camry,Sedan,Dammam,Toyota,Midrange,Automatic,Saudi,Standard,2015,2.5,277000,48000
Land Cruiser,SUV,Dammam,Toyota,Midrange,Automatic,Saudi,Full,2015,5.7,119000,180000
Prado,Other,Dammam,Toyota,Midrange,Automatic,Saudi,Standard,2015,2.7,250000,78000
Tahoe,SUV,Riyadh,Chevrolet,Midrange,Automatic,Saudi,Semi Full,2013,5.3,250000,70000
C,Other,Dammam,Mercedes,Premium Luxury,Automatic,Other,Full,2019,2.0,15000,175000
Hilux,Pickup,Riyadh,Toyota,Midrange,Manual,Saudi,Semi Full,2018,2.7,105558,76500
Pilot,SUV,Riyadh,Honda,Midrange,Automatic,Gulf Arabic,Full,2015,3.5,98000,75000
L200,Pickup,Jeddah,Mitsubishi,Midrange,Manual,Saudi,Standard,2015,2.5,103000,30000
Charger,Sedan,Dammam,Dodge,Midrange,Automatic,Other,Full,2016,3.6,101000,95000
Yaris,Hatchback,Dammam,Toyota,Midrange,Automatic,Saudi,Semi Full,2019,1.5,42628,38500
Explorer,SUV,Riyadh,Ford,Midrange,Automatic,Saudi,Standard,2014,3.6,209500,56000
Elantra,Sedan,Dammam,Hyundai,Midrange,Automatic,Saudi,Standard,2016,1.6,172600,35000
Ranger,Pickup,Aseer,Ford,Midrange,Manual,Saudi,Full,2015,3.2,145000,65000
FJ,SUV,Riyadh,Toyota,Midrange,Automatic,Gulf Arabic,Full,2017,1.6,74658,135000
Sierra,SUV,Riyadh,GMC,Midrange,Automatic,Saudi,Full,2015,5.3,86500,98000
Escalade,Other,Dammam,Cadillac,Premium Luxury,Automatic,Other,Full,2016,6.2,119000,178000
Patrol,SUV,Dammam,Nissan,Midrange,Automatic,Saudi,Full,2005,4.0,340000,35000
CX5,SUV,Jeddah,Mazda,Midrange,Automatic,Saudi,Full,2020,2.0,26000,112000
Furniture,Other,Riyadh,Toyota,Midrange,Automatic,Saudi,Semi Full,2020,4.0,20406,132000
A7,Luxury,Makkah,Audi,Premium Luxury,Automatic,Saudi,Full,2017,2.0,127000,135000
Altima,Sedan,Qassim,Nissan,Midrange,Automatic,Gulf Arabic,Full,2015,2.5,119500,47000
X-Trail,SUV,Riyadh,Nissan,Midrange,Automatic,Saudi,Standard,2016,2.5,115000,50000
Furniture,Other,Riyadh,Toyota,Midrange,Automatic,Saudi,Full,2020,4.0,20000,130000
Cadenza,Sedan,Makkah,Kia,Midrange,Automatic,Gulf Arabic,Full,2011,3.3,334624,27500
Range Rover,SUV,Riyadh,Land Rover,Premium Luxury,Automatic,Saudi,Full,2015,3.0,71500,265000
Yukon,SUV,Riyadh,GMC,Midrange,Automatic,Saudi,Semi Full,2013,5.3,150000,65000
Accord,Sedan,Riyadh,Honda,Midrange,Automatic,Saudi,Standard,2018,1.5,129000,68000
X,Other,Dammam,BMW,Premium Luxury,Automatic,Gulf Arabic,Semi Full,2017,3.0,71000,170000
Avalon,Sedan,Riyadh,Toyota,Midrange,Automatic,Saudi,Semi Full,2015,3.5,167,51000
S,Other,Qassim,Mercedes,Premium Luxury,Automatic,Saudi,Full,2018,3.5,53700,320000
F150,Pickup,Qassim,Ford,Midrange,Automatic,Gulf Arabic,Full,2018,5.0,59790,135000
Caprice,Sedan,Riyadh,Chevrolet,Midrange,Automatic,Saudi,Standard,2014,6.0,35481,106500
Charger,Sedan,Dammam,Dodge,Midrange,Automatic,Other,Full,2015,5.7,119000,105000
Quattroporte,Luxury,Dammam,Maserati,Ultra Luxury,Automatic,Gulf Arabic,Full,2014,3.8,115000,125000
Malibu,Sedan,Abha,Chevrolet,Midrange,Automatic,Saudi,Semi Full,2013,2.4,233000,20000
Other,Other,Jeddah,Honda,Midrange,Manual,Saudi,Standard,2011,1.0,4200,6500
Furniture,Other,Dammam,Toyota,Midrange,Automatic,Saudi,Semi Full,2019,2.7,37000,107000
Range Rover,SUV,Jeddah,Land Rover,Premium Luxury,Automatic,Gulf Arabic,Full,2016,3.5,122000,176000
Yaris,Hatchback,Al-Ahsa,Toyota,Midrange,Automatic,Saudi,Standard,2019,1.5,36000,43000
FJ,SUV,Dammam,Toyota,Midrange,Automatic,Gulf Arabic,Full,2020,6.0,50000,140000
Cerato,Other,Khobar,Kia,Midrange,Automatic,Saudi,Standard,2016,1.6,62000,29750
ES,Luxury,Dammam,Lexus,Premium Luxury,Automatic,Other,Full,2017,3.0,69000,142000
Ciocca,Other,Riyadh,Toyota,Midrange,Automatic,Saudi,Full,2016,5.7,134000,90000
Hilux,Pickup,Al-Medina,Toyota,Midrange,Manual,Saudi,Semi Full,2014,2.7,309000,45000
Tahoe,SUV,Riyadh,Chevrolet,Midrange,Automatic,Saudi,Full,2012,5.3,287928,58000
Sonata,Sedan,Riyadh,Hyundai,Midrange,Automatic,Saudi,Standard,2018,2.4,55000,60000
Furniture,Other,Riyadh,Toyota,Midrange,Automatic,Saudi,Full,2017,2.7,236000,75000
Compass,SUV,Riyadh,Jeep,Midrange,Automatic,Saudi,Semi Full,2019,2.4,43834,66000
Tahoe,SUV,Riyadh,Chevrolet,Midrange,Automatic,Gulf Arabic,Full,2003,5.3,45000,18000
Dyna,Pickup,Qassim,Isuzu,Midrange,Manual,Gulf Arabic,Full,2014,6.0,460000,120000
Sonata,Sedan,Dammam,Hyundai,Midrange,Automatic,Saudi,Full,2019,2.4,33000,85000
Range Rover,SUV,Dammam,Land Rover,Premium Luxury,Automatic,Saudi,Full,2019,3.5,38000,375000
Ranger,Pickup,Riyadh,Ford,Midrange,Manual,Saudi,Full,2011,2.5,168000,24000
Prestige,Luxury,Riyadh,Genesis,Premium Luxury,Automatic,Saudi,Standard,2016,3.8,131000,74000
Innova,MPV,Riyadh,Toyota,Midrange,Manual,Saudi,Standard,2006,2.5,498000,18000
Cadenza,Sedan,Jeddah,Kia,Midrange,Automatic,Saudi,Standard,2020,3.5,5000,108000
Hilux,Pickup,Wadi Dawasir,Toyota,Midrange,Automatic,Saudi,Full,2020,2.4,30000,147000
Vego,Pickup,Jeddah,Ford,Midrange,Automatic,Saudi,Standard,2019,1.5,47856,27500
Pajero,SUV,Qassim,Mitsubishi,Midrange,Automatic,Gulf Arabic,Semi Full,2016,6.0,200000,53000
Viano,Van,Al-Medina,Mercedes,Premium Luxury,Automatic,Saudi,Full,2015,3.5,119000,99000
Accord,Sedan,Jeddah,Honda,Midrange,Automatic,Other,Full,2010,2.4,205,30000
ES,Luxury,Riyadh,Lexus,Premium Luxury,Automatic,Gulf Arabic,Full,2017,3.5,100000,115000
Sunny,Sedan,Jeddah,Nissan,Midrange,Automatic,Saudi,Standard,2019,1.5,92000,28500
Patrol,SUV,Dammam,Nissan,Midrange,Automatic,Saudi,Full,2020,4.0,56000,225000
Prestige,Luxury,Riyadh,Genesis,Premium Luxury,Automatic,Saudi,Standard,2016,3.8,165000,84000
Bus Urvan,Truck/Bus,Dammam,Nissan,Midrange,Manual,Gulf Arabic,Full,2010,2.7,2012,14500
Macan,SUV,Dammam,Porsche,Premium Luxury,Automatic,Saudi,Full,2016,3.0,86000,158000
Sonata,Sedan,Riyadh,Hyundai,Midrange,Automatic,Saudi,Semi Full,2018,2.4,78000,63000
Sonata,Sedan,Al-Ahsa,Hyundai,Midrange,Automatic,Saudi,Standard,2018,2.4,65000,64000
Innova,MPV,Riyadh,Toyota,Midrange,Automatic,Saudi,Standard,2020,2.7,24552,76500
Rio,Hatchback,Dammam,Kia,Midrange,Automatic,Saudi,Standard,2016,1.4,154000,23000
Suburban,Other,Dammam,Chevrolet,Midrange,Automatic,Other,Full,2016,5.3,192000,143000
Pajero,SUV,Dammam,Mitsubishi,Midrange,Automatic,Saudi,Full,2016,3.5,126000,64000
Elantra,Sedan,Riyadh,Hyundai,Midrange,Automatic,Saudi,Standard,2019,2.0,18197,53000
Yukon,SUV,Jeddah,GMC,Midrange,Automatic,Saudi,Standard,2010,5.3,379538,65000
Blazer,SUV,Abha,Chevrolet,Midrange,Automatic,Other,Full,2005,2.0,213000,13500
Yaris,Hatchback,Dammam,Toyota,Midrange,Automatic,Saudi,Full,2020,1.5,2100,50000
Innova,MPV,Tabouk,Toyota,Midrange,Automatic,Saudi,Full,2017,2.7,139400,58000
Innova,MPV,Riyadh,Toyota,Midrange,Automatic,Saudi,Standard,2020,2.7,74000,75000
Accent,Sedan,Jeddah,Hyundai,Midrange,Automatic,Saudi,Semi Full,2017,1.4,174000,24000
IS,Sedan,Riyadh,Lexus,Premium Luxury,Automatic,Saudi,Full,2015,3.5,181000,60000
Hilux,Pickup,Makkah,Toyota,Midrange,Manual,Saudi,Standard,2009,1.5,25788,30000
Yukon,SUV,Dammam,GMC,Midrange,Automatic,Saudi,Standard,2007,5.3,221000,30000
Caprice,Sedan,Jeddah,Chevrolet,Midrange,Automatic,Saudi,Standard,2009,3.5,320000,27000
Taurus,Sedan,Jeddah,Ford,Midrange,Automatic,Saudi,Standard,2018,3.5,63000,80000
Taurus,Sedan,Riyadh,Ford,Midrange,Automatic,Saudi,Standard,2016,3.5,136000,58000
Corolla,Sedan,Khobar,Toyota,Midrange,Automatic,Saudi,Semi Full,2018,1.6,124000,40000
Land Cruiser,SUV,Dammam,Toyota,Midrange,Automatic,Gulf Arabic,Full,2020,4.6,19400,215000
LX,Other,Hail,Lexus,Premium Luxury,Automatic,Saudi,Full,2000,5.7,460,46000
Pathfinder,SUV,Riyadh,Nissan,Midrange,Automatic,Saudi,Full,2006,3.5,300,21000
Land Cruiser Pickup,Pickup,Dammam,Toyota,Midrange,Manual,Gulf Arabic,Full,2016,4.0,315,85000
RX,SUV,Riyadh,Lexus,Premium Luxury,Automatic,Gulf Arabic,Full,2017,3.5,59073,186500
CX3,SUV,Riyadh,Mazda,Midrange,Automatic,Saudi,Standard,2020,2.0,14501,66000
Rav4,SUV,Riyadh,Toyota,Midrange,Automatic,Other,Full,2018,2.5,61000,83000
Land Cruiser Pickup,Pickup,Riyadh,Nissan,Midrange,Automatic,Saudi,Full,2016,4.8,44000,95000
Taurus,Sedan,Riyadh,Ford,Midrange,Automatic,Saudi,Standard,2018,3.5,91355,74500
Cerato,Other,Jeddah,Kia,Midrange,Automatic,Saudi,Standard,2019,1.5,30766,42000
Tahoe,SUV,Riyadh,Chevrolet,Midrange,Automatic,Saudi,Semi Full,2016,5.3,107320,130000
Tahoe,SUV,Riyadh,Chevrolet,Midrange,Automatic,Saudi,Full,2016,5.3,146000,118000
H1,Van,Jeddah,Hyundai,Midrange,Automatic,Saudi,Standard,2015,4.0,400000,43000
Patrol,SUV,Riyadh,Nissan,Midrange,Automatic,Saudi,Full,2020,4.0,26000,235000
Traverse,Other,Al-Medina,Chevrolet,Midrange,Automatic,Saudi,Standard,2020,3.6,22800,100000
Pajero,SUV,Khobar,Mitsubishi,Midrange,Automatic,Saudi,Standard,2015,3.5,264000,38000
Navara,Pickup,Abha,Nissan,Midrange,Manual,Saudi,Standard,2015,2.5,119000,37000
FJ,SUV,Aseer,Toyota,Midrange,Automatic,Gulf Arabic,Full,2015,4.0,200000,88000
Camry,Sedan,Riyadh,Toyota,Midrange,Automatic,Gulf Arabic,Full,2018,2.5,42000,95000
Durango,SUV,Riyadh,Dodge,Midrange,Automatic,Other,Semi Full,2012,5.7,315,20000
LS,Luxury,Riyadh,Lexus,Premium Luxury,Automatic,Saudi,Full,2008,4.6,130000,75000
Azkarra,SUV,Qassim,Geely,Entry Level,Automatic,Saudi,Full,2021,1.5,20000,78000
Avalon,Sedan,Taef,Toyota,Midrange,Automatic,Saudi,Full,2017,3.5,180000,95000
RX,SUV,Riyadh,Lexus,Premium Luxury,Automatic,Gulf Arabic,Full,2016,3.5,176700,130000
Pathfinder,SUV,Al-Medina,Nissan,Midrange,Automatic,Saudi,Semi Full,2001,2.7,546473,14000
Yukon,SUV,Riyadh,GMC,Midrange,Automatic,Saudi,Standard,2018,5.3,82011,146500
Caprice,Sedan,Dammam,Chevrolet,Midrange,Automatic,Saudi,Full,2013,6.0,190000,50000
Innova,MPV,Dammam,Toyota,Midrange,Automatic,Saudi,Standard,2014,2.7,123000,33000
GL,SUV,Riyadh,Mercedes,Premium Luxury,Automatic,Saudi,Full,2012,4.8,106000,71000
Furniture,Other,Al-Medina,Toyota,Midrange,Automatic,Saudi,Full,2008,4.0,288000,36000
Corolla,Sedan,Dammam,Toyota,Midrange,Automatic,Saudi,Standard,2018,1.6,45370,49000
Veloster,Hatchback,Riyadh,Hyundai,Midrange,Automatic,Saudi,Full,2013,2.0,248000,25000
L200,Pickup,Jeddah,Mitsubishi,Midrange,Manual,Saudi,Standard,2020,2.5,197,71000
Datsun,Other,Jeddah,Nissan,Midrange,Manual,Saudi,Standard,2015,2.7,77000,45000
6,Sedan,Qassim,Mazda,Midrange,Automatic,Gulf Arabic,Standard,2016,2.0,196000,50000
City,Other,Riyadh,Honda,Midrange,Automatic,Gulf Arabic,Full,2016,4.0,51000,43000
Victoria,Sedan,Taef,Ford,Midrange,Automatic,Saudi,Standard,2006,4.6,320000,19500
G,Other,Dammam,Mercedes,Premium Luxury,Automatic,Saudi,Full,2015,4.0,188000,270000
Sonata,Sedan,Dammam,Hyundai,Midrange,Automatic,Saudi,Full,2017,2.4,69000,51000
Accent,Sedan,Riyadh,Hyundai,Midrange,Automatic,Saudi,Standard,2018,1.4,90000,27000
Marquis,Sedan,Tabouk,Ford,Midrange,Automatic,Other,Standard,2007,4.6,260000,18000
Accent,Sedan,Riyadh,Hyundai,Midrange,Automatic,Saudi,Standard,2019,1.4,73567,36500
Elantra,Sedan,Hail,Hyundai,Midrange,Automatic,Saudi,Standard,2017,2.0,86000,34000
S,Other,Riyadh,Mercedes,Premium Luxury,Automatic,Other,Semi Full,2005,5.0,350000,20000
Explorer,SUV,Riyadh,Ford,Midrange,Automatic,Gulf Arabic,Full,2016,3.5,127000,88000
Camry,Sedan,Wadi Dawasir,Toyota,Midrange,Automatic,Saudi,Standard,2014,2.5,542966,22000
LX,Other,Riyadh,Lexus,Premium Luxury,Automatic,Gulf Arabic,Full,2020,5.7,19131,406500
FJ,SUV,Dammam,Toyota,Midrange,Automatic,Saudi,Full,2017,4.0,265000,110000
Land Cruiser,SUV,Dammam,Toyota,Midrange,Manual,Saudi,Standard,2006,4.5,86000,90000
Hiace,Van,Riyadh,Toyota,Midrange,Manual,Saudi,Standard,2016,2.7,331000,62000
Tahoe,SUV,Al-Ahsa,Chevrolet,Midrange,Automatic,Saudi,Standard,2011,5.3,250000,40000
Cerato,Other,Riyadh,Kia,Midrange,Automatic,Saudi,Standard,2017,1.6,20000,41000
Taurus,Sedan,Dammam,Ford,Midrange,Automatic,Other,Semi Full,2016,3.5,108000,79000
Sentra,Other,Riyadh,Nissan,Midrange,Automatic,Saudi,Standard,2017,1.6,50700,37000
Yaris,Hatchback,Tabouk,Toyota,Midrange,Automatic,Saudi,Standard,2017,1.5,12500,32000
