Type,Body_Type,Region,Make,Make_Tier,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Price
Victoria,Sedan,Khobar,Ford,Midrange,Automatic,Saudi,Standard,2011,4.6,176000,50000
Prestige,Luxury,Riyadh,Genesis,Premium Luxury,Automatic,Saudi,Semi Full,2016,3.5,293000,77000
Corolla,Sedan,Riyadh,Toyota,Midrange,Automatic,Saudi,Full,2003,1.0,50000,15000
CX9,SUV,Riyadh,Mazda,Midrange,Automatic,Saudi,Full,2014,3.7,388000,37000
Tahoe,SUV,Aseer,Chevrolet,Midrange,Automatic,Other,Semi Full,2008,5.3,300000,35000
CLA,Sedan,Riyadh,Mercedes,Premium Luxury,Automatic,Other,Full,2020,2.0,15000,410000
Grand Cherokee,SUV,Dammam,Jeep,Midrange,Automatic,Saudi,Full,2013,5.7,77000,77000
Accent,Sedan,Jeddah,Hyundai,Midrange,Automatic,Saudi,Standard,2018,1.4,127000,33000
Vanquish,Coupe/Sports,Dammam,Aston Martin,Ultra Luxury,Automatic,Saudi,Full,2013,6.0,32000,400000
Accent,Sedan,Riyadh,Hyundai,Midrange,Automatic,Saudi,Standard,2018,1.4,81967,35500
Land Cruiser,SUV,Hail,Toyota,Midrange,Manual,Gulf Arabic,Full,2013,1.0,378000,75000
ES,Luxury,Dammam,Lexus,Premium Luxury,Automatic,Saudi,Full,2013,1.6,263000,66000
Hilux,Pickup,Dammam,Toyota,Midrange,Manual,Saudi,Full,2016,2.7,174172,65000
Hilux,Pickup,Jazan,Toyota,Midrange,Manual,Saudi,Semi Full,2017,2.7,106737,75000
Safrane,Sedan,Jeddah,Renault,Entry Level,Automatic,Saudi,Full,2012,2.6,144000,20000
Cores,Other,Makkah,Kia,Midrange,Manual,Saudi,Standard,2005,4.0,400,10000
Cadenza,Sedan,Dammam,Kia,Midrange,Automatic,Gulf Arabic,Semi Full,2018,3.3,81000,70000
D'max,Pickup,Jeddah,Suzuki,Entry Level,Manual,Other,Full,2001,1.0,1000,7000
Silverado,Pickup,Dammam,Chevrolet,Midrange,Automatic,Saudi,Standard,2018,5.3,127000,85000
Taurus,Sedan,Riyadh,Ford,Midrange,Automatic,Saudi,Standard,2017,3.5,128439,76500
Sonata,Sedan,Riyadh,Hyundai,Midrange,Automatic,Saudi,Standard,2018,2.4,69000,55000
Malibu,Sedan,Aseer,Chevrolet,Midrange,Automatic,Saudi,Semi Full,2015,2.5,190217,27000
Land Cruiser Pickup,Pickup,Tabouk,Toyota,Midrange,Manual,Saudi,Semi Full,2015,4.0,96000,95000
